description,date,category_title,amount,note
4D-9904,April 8 2025,ပစ္စည်းဝယ်,266000
4D-9904,April 8 2025,ဝင်ငွေ,387000,Honda green plugs 8
Daily 2ရက်,April 8 2025,လုပ်သားခ,30000
Daily,April 5 2025,လုပ်သားခ,15000
1D-1488,April 5 2025,ဝင်ငွေ,48000,ရှူးလဲ ဆုံခု ဘရိတ်ခု ပလပ်ဆေး နောက်ရော့လဲ လက်ခ
Daily,April 4 2025,လုပ်သားခ,15000
2Q-4817,April 4 2025,ဝင်ငွေ,10000
Daily,April 3 2025,လုပ်သားခ,15000
7P-1169 ပစ္စည့်းဝယ်,April 3 2025,ပစ္စည်းဝယ်,130000
2Q-4817,April 3 2025,ဝင်ငွေ,25000,ရှေ့ရှူးလဲ နောက်ရှူး adjust
ဖက်တီး,March 31 2025,လုပ်သားခ,150000
ကျော်နိုင်,March 31 2025,လုပ်သားခ,700000
Daily,March 31 2025,လုပ်သားခ,15000
92 Max SML,March 29 2025,ဆီဖိုး,40000
Daily 2ရက်စာ,March 28 2025,လုပ်သားခ,30000
7E-7647,March 28 2025,ပစ္စည်းဝယ်,940000,ဂီယာဘောက်ပြင်, ATF ၂ပုံး
7E-7647,March 27 2025,ကယ်ရီခ,20000,Byn<>SPT
7E-7647,March 27 2025,ဝင်ငွေ,1,290000,1G ဂီယာဘောက်ပြင်
Toyota pixis,March 26 2025,ဝင်ငွေ,10000,သဲကာလဲ အင်ဂျင်ဝိုင်လဲ
ကွန်ပျူတာစစ်,March 26 2025,ဝင်ငွေ,10000
92 Max SML,March 26 2025,ဆီဖိုး,50000
Daily,March 25 2025,လုပ်သားခ,15000
6C-8909,March 25 2025,ပစ္စည်းဝယ်,478000
6C-8909,March 25 2025,ဝင်ငွေ,580000,FR L Balljoint၊rackend၊brakepad၊S.bush၊Link၊EO၊plug
၂၂ ၂၃ ၂၄ ၃ရက်စာ,March 24 2025,လုပ်သားခ,45000
ဦးကျော်ကျော်စိုး,March 24 2025,ဝင်ငွေ,10000,Engine oil လဲ ၊ အောက်ပိုင်းစစ်
ကယ်ရဣ,March 23 2025,ကယ်ရီခ,12000
Honda insight,March 23 2025,ဝင်ငွေ,90000,မာစတာပန့်လဲ၊ ရှေ့ရှူးလဲ၊ နောက်ရှူး တင်
92 MAX ( SML),March 22 2025,ဆီဖိုး,30000
20 21 ၂ရက်စာ,March 21 2025,လုပ်သားခ,30000
Daily,March 19 2025,လုပ်သားခ,30000,18 19 ၂ရက်စာ
Outdoor,March 18 2025,ကယ်ရီခ,25000,ရွှေပြည်ကြသာမှကြည့်မြင်တိုင်အိမ် တက္ကစီ
Daily,March 17 2025,လုပ်သားခ,30000,၂ရက်စာ
92 Denko ဖော့ကန်,March 16 2025,ဆီဖိုး,45000,Full-160km ထိမောင်းပြီး 14.610L ဖြည့် ( ၁လီတာ=၁၁ကီလိုမီတာ )
8G-3996,March 15 2025,ဝင်ငွေ,20000,ရှေ့ရှး၊ နောက်ရှူးလဲ
Daily,March 14 2025,လုပ်သားခ,15000
